COD_AREA_PROGR;ZONA_SANITARIA;NOM_A_PROGRAMA;COD_LOC;NOM_LOC;TIENE_ESCU;COD_LOC_IN;TIPO;GEOM900913;wkt_geom;CLASIFICACION_PROV;CodProv;CodDepart;CodLoc;Establec;NOMBRE_ENT
31;3;TRICAO MALAL;58042014;CHAPUA;t;;PARAJE;"SRID=900913;POINT(-7825760.20275805 -4476342.19695524)";POINT(-70.300000 -37.266667);paraje;58;042;000;HOSP.TRICAO MALAL;CHAPUA
33;3;ANDACOLLO;58077014;CHARRA RUCA;t;;PARAJE;"SRID=900913;POINT(-7860957.72176404 -4458320.42333596)";POINT(-70.616185 -37.137719);paraje;58;077;000;HOSP.ANDACOLLO;CHARRA RUCA
40;4;SAN MARTIN DE LOS ANDES;58056012;CHIMEHUIN;f;;PARAJE;"SRID=900913;POINT(-7891955.22477244 -4879284.110771)";POINT(-70.894640 -40.091750);paraje;58;056;000;HOSP.SAN MARTIN DE LOS ANDES;CHIMEHUIN
10;1;SENILLOSA;58035043;CHINA MUERTA;t;;PARAJE;"SRID=900913;POINT(-7613034.4325102 -4719272.89895919)";POINT(-68.389052 -38.983252);paraje;58;035;000;HOSP.SENILLOSA;CHINA MUERTA
41;4;JUNIN DE LOS ANDES;58049007;CHIQUILIHUIN (RAI);t;;PARAJE;"SRID=900913;POINT(-7927636.49211525 -4811335.58741047)";POINT(-71.215170 -39.623191);paraje;58;049;000;HOSP.JUNIN DE LOS ANDES;CHIQUILIHUIN
30;3;CHOS MALAL;58063007;CHORRIACA;t;58063010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7804337.5724011 -4570360.50683809)";POINT(-70.107557 -37.935800);comision de fomento;58;063;010;HOSP.CHOS MALAL;CHORRIACA
30;3;CHOS MALAL;58042015;CHOS MALAL;t;58042010;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7822336.85086216 -4492181.61042343)";POINT(-70.269248 -37.379818);municipio 1;58;042;010;HOSP.CHOS MALAL;CHOS MALAL
32;3;BUTA RANQUIL;58042016;COCHICO;t;;PARAJE;"SRID=900913;POINT(-7839067.89128739 -4346203.14942067)";POINT(-70.419545 -36.330570);paraje;58;091;000;HOSP.BUTA RANQUIL;COCHICO
22;2;LAS LAJAS;58105006;CODIHUE;f;;PARAJE;"SRID=900913;POINT(-7847568.80420844 -4647167.30979399)";POINT(-70.495910 -38.477960);paraje;58;105;000;HOSP.LAS LAJAS;CODIHUE
24;2;LONCOPUE;58063008;COIHUECO;f;;PARAJE;"SRID=900913;POINT(-7810333.547733 -4587621.09701844)";POINT(-70.161420 -38.057990);paraje;58;063;000;HOSP.LONCOPUE;COIHUECO
25;2;EL HUECU;58084009;COLIPILLI;t;;PARAJE;"SRID=900913;POINT(-7836882.95884543 -4546518.59119683)";POINT(-70.399917 -37.766686);paraje;58;084;000;HOSP.EL HUECU;COLIPILLI
25;2;EL HUECU;58084046;COLIPILLI ABAJO;t;;PARAJE;"SRID=900913;POINT(-7826969.90272004 -4544124.82978719)";POINT(-70.310867 -37.749685);paraje;;;;;
34;3;LAS OVEJAS;58077015;COLOMICHICO;t;;PARAJE;"SRID=900913;POINT(-7867103.43484015 -4428680.13139011)";POINT(-70.671393 -36.925160);paraje;58;077;000;HOSP.LAS OVEJAS;COLLI MICHICO
41;4;JUNIN DE LOS ANDES;58049043;CONFLUENCIA DEL MALLEO;t;;PARAJE;"SRID=900913;POINT(-7907394.45879917 -4834506.59462501)";POINT(-71.033333 -39.783333);paraje;;;;;
24;2;LONCOPUE;58084010;COPAHUE;f;58084020;LOCALIDAD SIMPLE;"SRID=900913;POINT(-7914740.09814801 -4554354.49658301)";POINT(-71.099320 -37.822310);municipio 3;58;084;020;HOSP.LONCOPUE;COPAHUE
43;4;VILLA LA ANGOSTURA;58070007;CORRENTOSO;f;;PARAJE;"SRID=900913;POINT(-7979072.74507235 -4972233.62221528)";POINT(-71.677230 -40.727520);paraje;58;070;000;HOSP.VILLA LA ANGOSTURA;CORRENTOSO
32;3;BUTA RANQUIL;58091015;CORTADERA;f;;PARAJE;"SRID=900913;POINT(-7754078.24306062 -4526474.46320811)";POINT(-69.656070 -37.624210);paraje;58;091;000;HOSP.BUTA RANQUIL;CORTADERAS
44;4;LAS COLORADAS;58021049;COSTA DEL CATAN LIL;t;;PARAJE;"SRID=900913;POINT(-7861079.19128679 -4829603.7283616)";POINT(-70.617276 -39.749479);paraje;;;;;
41;4;JUNIN DE LOS ANDES;58049009;COSTA DEL MALLEO;t;;PARAJE;"SRID=900913;POINT(-7907394.45885821 -4834506.59449679)";POINT(-71.033333 -39.783333);paraje;;;;;
21;2;MARIANO MORENO;58112011;COVUNCO ABAJO;t;;PARAJE;"SRID=900913;POINT(-7771403.94580851 -4667894.316833)";POINT(-69.811709 -38.623574);paraje;58;112;020;HOSP.MARIANO MORENO;COVUNCO CENTRO
21;2;MARIANO MORENO;58105008;COVUNCO ABAJO;f;;PARAJE;"SRID=900913;POINT(-7774494.23767211 -4666751.07008248)";POINT(-69.839470 -38.615550);comision de fomento;58;112;020;HOSP.MARIANO MORENO;COVUNCO CENTRO
20;2;ZAPALA;58112012;COVUNCO ARRIBA;t;;PARAJE;"SRID=900913;POINT(-7811978.93260035 -4696123.39789287)";POINT(-70.176201 -38.821418);comision de fomento;;;;;COVUNCO CENTRO
21;2;MARIANO MORENO;58112013;COVUNCO CENTRO;t;58112020;ENTIDAD;"SRID=900913;POINT(-7796243.82601247 -4685450.11951942)";POINT(-70.034850 -38.746678);comision de fomento;58;112;020;HOSP.MARIANO MORENO;COVUNCO CENTRO
21;2;MARIANO MORENO;58105009;COVUNCO CENTRO;f;;PARAJE;"SRID=900913;POINT(-7796371.85719771 -4685390.39338893)";POINT(-70.036000 -38.746260);comision de fomento;58;112;020;HOSP.MARIANO MORENO;COVUNCO CENTRO
32;3;BUTA RANQUIL;58042018;COYUCO;t;;PARAJE;"SRID=900913;POINT(-7800379.91546168 -4393834.40766798)";POINT(-70.072005 -36.674511);comision de fomento;58;091;000;HOSP.BUTA RANQUIL;COYUCO
43;4;VILLA LA ANGOSTURA;58070008;CUMELEN;f;;PARAJE;"SRID=900913;POINT(-7972905.64528241 -4980758.67057033)";POINT(-71.621830 -40.785530);paraje;;;;;
